fuzzer,protocol,seed,mutant,time,result
foundry,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,02,5466,1
foundry,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,03,22,1
echidna,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,03,147,1
foundry,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,04,5742,1
echidna,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,04,86400,124
foundry,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,05,1851,1
echidna,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,05,86401,124
echidna,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,06,124,1
foundry,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,06,6,1
foundry,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,07,7,1
echidna,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,07,129,1
echidna,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,08,119,1
foundry,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,08,7,1
echidna,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,09,452,1
foundry,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,09,6,1
echidna,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,10,86400,124
foundry,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,10,2405,1
foundry,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,11,8,1
echidna,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,11,98,1
echidna,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,12,86400,124
foundry,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,12,92,1
echidna,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,01,1767,1
foundry,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,01,24,1
foundry,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,02,4600,137
echidna,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,02,23989,1
foundry,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,03,19,1
echidna,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,03,140,1
echidna,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,04,86400,124
foundry,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,04,479,1
foundry,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,05,2977,1
echidna,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,05,37994,1
echidna,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,06,108,1
foundry,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,06,6,1
echidna,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,07,110,1
foundry,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,07,6,1
echidna,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,08,106,1
foundry,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,08,7,1
foundry,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,09,9,1
echidna,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,09,91,1
foundry,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,10,3903,1
echidna,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,10,86401,124
foundry,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,11,7,1
echidna,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,11,90,1
echidna,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,12,86400,124
foundry,uniswap-v2,49791959467252497455735130940088646708311117250336157395101362029847983277999,12,68,1
foundry,uniswap-v2,62514009886607029107290561805838585334079798074568712924583230797734656856475,01,21,1
echidna,uniswap-v2,62514009886607029107290561805838585334079798074568712924583230797734656856475,01,4103,1
foundry,uniswap-v2,62514009886607029107290561805838585334079798074568712924583230797734656856475,02,104,1
echidna,uniswap-v2,62514009886607029107290561805838585334079798074568712924583230797734656856475,02,86400,124
echidna,uniswap-v2,62514009886607029107290561805838585334079798074568712924583230797734656856475,03,169,1
foundry,uniswap-v2,62514009886607029107290561805838585334079798074568712924583230797734656856475,03,24,1
echidna,uniswap-v2,62514009886607029107290561805838585334079798074568712924583230797734656856475,04,86400,1
